                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9805,                 1.9497,                 2.6065,                0.46031,                0.34091,                0.33109,                0.14344,                 1.9267,                 2.8318,                 2.8689,              0.0013664,              0.0013664,              0.0013664
                     35,                 2.0089,                 2.0544,                 2.6665,                0.28779,                0.48367,                 0.2437,                0.11327,                 1.8879,                 2.3884,                 2.7302,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.0355,                 1.9014,                 2.6319,                0.12662,                0.56061,                  0.121,                0.04956,                 2.0221,                 3.3033,                 2.8377,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.0091,                 1.9893,                 2.5784,                0.65385,                0.59091,                0.62826,                0.32555,                  1.703,                 2.0961,                 2.5741,               0.001307,               0.001307,               0.001307
                     38,                 1.9172,                 1.7942,                 2.4927,                0.37044,                0.52601,                0.41833,                0.18695,                 1.8098,                 3.1589,                 2.6108,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.8365,                 1.8117,                 2.4174,                0.40728,                0.59091,                0.46407,                0.21441,                   1.82,                  2.476,                 2.5755,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.9313,                 1.8964,                 2.4746,                0.59292,                0.68414,                0.66389,                0.30163,                 1.8702,                 2.3923,                 2.6193,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.8762,                 1.7753,                 2.4116,                0.56154,                0.68939,                0.68768,                 0.3446,                    1.7,                 2.9463,                  2.427,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.8611,                 1.7057,                 2.3981,                0.65078,                0.63529,                0.71211,                0.38939,                 1.6229,                 1.7541,                 2.3262,               0.001208,               0.001208,               0.001208
                     43,                 1.8864,                 1.8423,                 2.4322,                0.70764,                0.75183,                0.80537,                0.47551,                 1.5077,                 1.5578,                 2.2198,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.767,                 1.6461,                 2.3394,                 0.6802,                 0.7803,                0.81644,                 0.4642,                 1.5919,                 1.5079,                 2.2345,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.6151,                 1.5889,                 2.2732,                0.72168,                0.71212,                0.78564,                 0.4571,                 1.5468,                 1.5406,                 2.2976,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.8074,                 1.6392,                 2.3899,                0.72966,                0.70455,                0.78635,                0.44978,                 1.5517,                 1.5341,                 2.2388,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.7187,                 1.6592,                 2.3193,                0.70635,                0.69247,                 0.7853,                0.45392,                 1.5415,                 1.4642,                 2.1757,               0.001109,               0.001109,               0.001109
                     48,                 1.6846,                 1.6242,                 2.2818,                0.78463,                 0.7176,                0.81402,                0.46411,                 1.6843,                 1.5597,                 2.2569,              0.0010892,              0.0010892,              0.0010892
                     49,                   1.66,                 1.5186,                 2.2423,                0.85566,                   0.75,                0.87456,                0.52822,                 1.4255,                 1.3992,                 2.1081,              0.0010694,              0.0010694,              0.0010694
